Time,Distância mínima aos obstáculos,Distância à linha central,Pontos Detectados Frente,Pontos Detectados Tras,LINES,0,1,-1
17.689,1.37517,2.26674,0,0,1,0,1,-1
17.79,1.40624,2.2953,0,0,1,0,1,-1
17.855,1.41084,2.29064,0,0,1,0,1,-1
17.92,1.40188,2.29497,0,0,1,0,1,-1
18.02,1.40089,2.29497,0,0,1,0,1,-1
18.088,1.39612,2.28832,0,0,1,0,1,-1
18.189,1.40729,2.2808,0,0,1,0,1,-1
18.287,1.41933,2.29947,0,0,1,0,1,-1
18.354,1.39738,2.28865,0,0,1,0,1,-1
18.421,1.3979,2.28865,0,0,1,0,1,-1
18.492,1.41281,2.30164,0,0,1,0,1,-1
18.591,1.44465,2.33234,0,0,1,0,1,-1
